id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre
81,17,2025,BIG 6,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,429,0,Fabbrica,0.006,0.02,0,0.0166,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.043,
83,43,2025,BIG 8,FA10/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.118,0.08,0,0.0633,0.2,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.018,
84,45,2025,BIG 3,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0366,0,0.0333,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.009,
85,45,2025,BIG 5,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.04,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.009,
86,48,2025,BIG 6,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.04,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.008,
87,48,2025,BIG 7,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.03,0,0.06,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.005,
88,48,2025,BIG 8,FA11/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0333,0,0.02,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.009,
89,49,2025,BIG 9,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,500,0,Fabbrica,0.002,0.04,0,0.04,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.015,
90,49,2025,BIG 11,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.06,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.013,
91,49,2025,BIG 12,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0266,0,0.03,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.012,
92,49,2025,BIG 13,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.03,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.008,
93,49,2025,BIG 14,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.0333,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.011,
94,49,2025,BIG 15,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.0333,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.011,
95,50,2025,BIG 17,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0266,0,0.06,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.009,
96,50,2025,BIG 18,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.0266,0,0.04,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.006,
97,50,2025,BIG 19,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0366,0,0.0433,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.008,
98,50,2025,BIG 20,FA12/2025,CONVENZIONALI,SGUSCIATE,11/13,681,0,Fabbrica,0.006,0.03,0,0.0466,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.004,
99,17,2025,BIG 21,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0266,0,0.05,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.007,
75,10,2025,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,13/15,1306,653,Vignanello,0.32899999999999996,0.25,0,0.23,0.019,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
82,19,2025,BIG 1,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Soriano,0.021,0.0466,0,0.12,0,,Finelli,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0,
100,17,2025,BIG 22,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0333,0,0.0333,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-11T20:44:58.222249+00:00,0.008,
101,17,2025,BIG 23,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0233,0,0.04,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.003,
102,17,2025,BIG 24,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.0566,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.008,
103,17,2025,BIG 25,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,901,0,Fabbrica,0.003,0.0266,0,0.02,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.017,
104,18,2025,BIG 26,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.0566,0,0.05,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.03,
105,18,2025,BIG 27,FA04/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.08,0,0.0566,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.013,
106,20,2025,BIG 28,FA05/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.06,0,0.08,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.007,
107,20,2025,BIG 29,FA05/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.05,0,0.05,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.016,
108,20,2025,BIG 30,FA05/2026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.0633,0,0.0433,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0.015,
109,46,2025,BIG BAG N° 2,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0233,0,0.0633,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0,
110,46,2025,BIG BAG N° 3,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.0266,0,0.0633,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0,
111,46,2025,BIG BAG N° 5,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.03,0,0.0866,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0,
112,46,2025,BIG BAG N° 6,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0266,0,0.0933,0,,,2026-05-19T08:15:05.37064+00:00,2026-06-11T20:44:58.222249+00:00,0,
