id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro,intragruppo,partner_id
94,46,2025,BIG BAG N° 7,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0,0.0233,0,0.1066,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
95,46,2025,BIG BAG N° 8,SO112025,CONVENZIONALI,SGUSCIATE,11/13,450,0,Fabbrica,0.001,0.03,0,0.0666,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
97,46,2025,BIG BAG N° 10,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0,0.01,0,0.0333,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
98,46,2025,BIG BAG N° 11,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0,0.02,0,0.0466,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
99,46,2025,BIG BAG N° 12,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.0033,0,0.04,0,,,2026-08-19T21:24:59.126766+00:00,2026-08-19T21:24:59.126766+00:00,0,,2025,false,false,
108,46,2025,BIG BAG N° 21,SO112025,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0,0.0166,0,0.0366,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
111,16,2026,BIG BAG N° 1,SO042026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.01,0,0.08,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
112,16,2026,BIG BAG N° 2,SO042026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.003,0.02,0,0.095,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
113,16,2026,BIG BAG N° 3,SO042026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.055,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
116,16,2026,BIG BAG N° 6,SO042026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.025,0,0.085,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
117,16,2026,BIG BAG N° 7,SO042026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.001,0.02,0,0.07,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
118,16,2026,BIG BAG N° 8,SO042026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.002,0.02,0,0.08,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
119,16,2026,BIG BAG N° 9,SO042026,CONVENZIONALI,SGUSCIATE,11/13,303,0,Fabbrica,0.003,0.03,0,0.132,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
120,22,2026,BIG BAG N° 1,SO052026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.006,0.0166,0,0.0433,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
121,22,2026,BIG BAG N° 2,SO052026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.01,0.0433,0,0.0666,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
130,24,2026,BIG BAG N° 1,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.006,0.0366,0,0.0733,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
131,24,2026,BIG BAG N° 2,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.006,0.0366,0,0.0833,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
132,24,2026,BIG BAG N° 3,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.004,0.04,0,0.0766,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
133,24,2026,BIG BAG N° 4,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.0333,0,0.08,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
134,24,2026,BIG BAG N° 5,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.04,0,0.0666,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
135,24,2026,BIG BAG N° 6,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.006,0.0466,0,0.0666,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
136,24,2026,BIG BAG N° 7,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.04,0,0.0633,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
137,24,2026,BIG BAG N° 8,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.004,0.0333,0,0.0733,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
138,24,2026,BIG BAG N° 9,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.005,0.0333,0,0.0766,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
150,24,2026,BIG BAG N° 21,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.01,0.0366,0,0.06,0,,,2026-08-19T21:24:59.210366+00:00,2026-08-19T21:24:59.210366+00:00,0,,2025,false,false,
151,24,2026,BIG BAG N° 22,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.008,0.0466,0,0.0533,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
152,24,2026,BIG BAG N° 23,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.007,0.0433,0,0.0533,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
153,24,2026,BIG BAG N° 24,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.005,0.0366,0,0.07,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
154,24,2026,BIG BAG N° 25,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.004,0.04,0,0.06,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
155,24,2026,BIG BAG N° 26,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.011,0.0366,0,0.0466,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
156,24,2026,BIG BAG N° 27,SO062026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Vignanello,0.01,0.04,0,0.0566,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
157,29,2026,BIG BAG N° 1,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.006,0.0333,0,0.0533,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
158,29,2026,BIG BAG N° 2,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.007,0.04,0,0.0666,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
159,29,2026,BIG BAG N° 3,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.005,0.0366,0,0.1033,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
160,29,2026,BIG BAG N° 4,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.006,0.0266,0,0.09,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
161,29,2026,BIG BAG N° 5,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.008,0.03,0,0.0833,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
166,29,2026,BIG BAG N° 10,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.03,0,0.0766,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
167,29,2026,BIG BAG N° 11,SO072026,CONVENZIONALI,SGUSCIATE,11/13,1000,0,Fabbrica,0.004,0.0266,0,0.0566,0,,,2026-08-19T21:24:59.290409+00:00,2026-08-19T21:24:59.290409+00:00,0,,2025,false,false,
